,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
429,Yeni tikili,100,3,var,240000,vasitəçi (agent),113,Cavanşir körpüsü,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,16,19,429
430,Yeni tikili,141,3,var,280000,vasitəçi (agent),115,Koala parkı,Dostluq kinoteatrı,Nəsimi bazarı,Park Zorge,Nəsimi r.,,,,,,3,19,430
431,Köhnə tikili,40,2,var,65000,vasitəçi (agent),557,Yasamal bazarı,Yasamal r.,,,,,,,,,2,5,431
432,Köhnə tikili,48,2,var,76000,vasitəçi (agent),179,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,2,5,432
433,Yeni tikili,150,3,var,296000,vasitəçi (agent),304,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,12,18,433
434,Köhnə tikili,50,2,var,68000,vasitəçi (agent),606,Yasamal bazarı,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,2,5,434
435,Yeni tikili,70,2,yoxdur,56500,vasitəçi (agent),2296,Abşeron r.,Masazır q.,,,,,,,,,1,5,435
436,Yeni tikili,85,3,yoxdur,127000,mülkiyyətçi,1305,20 Yanvar m.,,,,,,,,,,12,18,436
437,Yeni tikili,28,1,var,58000,vasitəçi (agent),248,20 Yanvar m.,Yasamal r.,,,,,,,,,15,18,437
438,Köhnə tikili,80,3,var,95000,vasitəçi (agent),146,Həzi Aslanov m.,Ukrayna dairəsi,Xətai r.,,,,,,,,6,9,438
439,Yeni tikili,54,2,var,54000,vasitəçi (agent),367,Yasamal r.,Yeni Yasamal q.,,,,,,,,,7,12,439
440,Yeni tikili,84,3,var,115000,vasitəçi (agent),154,Nəsimi bazarı,Nəsimi r.,,,,,,,,,3,15,440
441,Yeni tikili,50,2,yoxdur,85000,mülkiyyətçi,1277,Yasamal bazarı,Yasamal r.,Yasamal q.,,,,,,,,16,17,441
