,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
824,Köhnə tikili,60,2,var,88000,vasitəçi (agent),612,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,1,9,824
825,Yeni tikili,73,2,yoxdur,115000,vasitəçi (agent),123,İnşaatçılar m.,Yasamal r.,,,,,,,,,6,12,825
826,Yeni tikili,300,4,var,500000,vasitəçi (agent),212,Zoopark,Dostluq kinoteatrı,Nərimanov r.,,,,,,,,8,16,826
827,Yeni tikili,213,4,yoxdur,700000,vasitəçi (agent),129,Axundov bağı,İqsadiyyat Universiteti,Dövlət İdarəçilik Akademiyası,İçəri Şəhər m.,Prezident parkı,Qubernator parkı,M.Ə.Sabir parkı,Sovetski,Nərimanov heykəli,Səbail r.,10,15,827
828,Yeni tikili,184,4,var,230000,vasitəçi (agent),2944,Şərq bazarı,Nərimanov r.,,,,,,,,,7,16,828
829,Yeni tikili,97,2,yoxdur,96000,vasitəçi (agent),148,Dərnəgül m.,Binəqədi r.,7-ci mikrorayon q.,,,,,,,,10,17,829
830,Köhnə tikili,66,2,var,94000,mülkiyyətçi,171,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,2,5,830
831,Yeni tikili,110,3,yoxdur,149000,vasitəçi (agent),705,Qara Qarayev m.,Nizami r.,,,,,,,,,6,17,831
832,Yeni tikili,45,2,var,40000,mülkiyyətçi,229,Abşeron r.,Masazır q.,,,,,,,,,5,10,832
833,Yeni tikili,71,2,var,255000,vasitəçi (agent),151,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,7,18,833
834,Yeni tikili,88,2,yoxdur,68000,vasitəçi (agent),136,Yasamal r.,Yeni Yasamal q.,,,,,,,,,14,19,834
835,Yeni tikili,230,4,var,322000,vasitəçi (agent),110,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,28 May m.,Nəsimi r.,,,,,,,15,17,835
836,Köhnə tikili,70,3,var,120000,vasitəçi (agent),358,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,7,10,836
837,Yeni tikili,177,4,var,260000,vasitəçi (agent),2968,Tibb Universiteti,,,,,,,,,,5,16,837
838,Köhnə tikili,118,4,var,160000,mülkiyyətçi,148,Nəsimi m.,Zərifə Əliyeva adına park,Binəqədi r.,9-cu mikrorayon q.,,,,,,,1,9,838
839,Yeni tikili,73,1,yoxdur,57000,vasitəçi (agent),345,Yasamal r.,,,,,,,,,,7,22,839
840,Yeni tikili,133.2,3,yoxdur,119000,vasitəçi (agent),826,Neftçilər m.,Nizami r.,,,,,,,,,3,16,840
841,Köhnə tikili,60,2,var,98000,vasitəçi (agent),533,Neftçi bazası,TQDK,Nəsimi r.,,,,,,,,8,9,841
842,Yeni tikili,69,2,var,155000,vasitəçi (agent),129,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,16,18,842
843,Yeni tikili,200,3,var,600000,vasitəçi (agent),669,Şah İsmayıl Xətai m.,Səbail r.,,,,,,,,,5,21,843
844,Yeni tikili,180,4,yoxdur,220000,vasitəçi (agent),127,İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.,,,,,,,,12,18,844
845,Yeni tikili,72,3,yoxdur,66000,vasitəçi (agent),68,Xırdalan,,,,,,,,,,2,5,845
846,Yeni tikili,237,4,yoxdur,320000,vasitəçi (agent),1988,Təhsil Nazirliyi,Nərimanov r.,,,,,,,,,9,16,846
847,Köhnə tikili,48,2,var,88000,vasitəçi (agent),242,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,2,5,847
848,Yeni tikili,221,4,var,550000,mülkiyyətçi,809,Nəsimi bazarı,Koala parkı,Nəsimi r.,,,,,,,,15,17,848
849,Köhnə tikili,65,3,var,116500,vasitəçi (agent),162,Nəsimi bazarı,Koala parkı,Dostluq kinoteatrı,Nərimanov r.,,,,,,,4,5,849
850,Yeni tikili,90,2,yoxdur,90000,vasitəçi (agent),538,Yasamal r.,Yeni Yasamal q.,,,,,,,,,3,18,850
851,Köhnə tikili,70,3,var,100000,vasitəçi (agent),170,Xətai r.,,,,,,,,,,5,9,851
852,Köhnə tikili,40,2,var,79000,vasitəçi (agent),620,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,3,5,852
853,Yeni tikili,90,2,var,160000,vasitəçi (agent),105,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,,5,5,853
854,Köhnə tikili,90,3,var,139000,vasitəçi (agent),376,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,9,10,854
855,Köhnə tikili,210,4,var,410000,vasitəçi (agent),2235,Texniki Universiteti,Space TV,Hüseyn Cavid parkı,Elmlər Akademiyası m.,Yasamal r.,,,,,,5,5,855
856,Köhnə tikili,100,4,var,150000,vasitəçi (agent),196,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,4,5,856
857,Yeni tikili,87,2,var,135000,vasitəçi (agent),201,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,10,17,857
858,Yeni tikili,112,3,yoxdur,133000,vasitəçi (agent),418,Nizami r.,,,,,,,,,,9,17,858
859,Yeni tikili,107,3,yoxdur,220000,mülkiyyətçi,836,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,14,18,859
860,Yeni tikili,120,3,var,245000,vasitəçi (agent),174,TQDK,Nəsimi r.,,,,,,,,,11,17,860
861,Köhnə tikili,62,2,var,79000,mülkiyyətçi,870,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,9,9,861
862,Yeni tikili,123,3,yoxdur,130000,vasitəçi (agent),116,Yasamal r.,,,,,,,,,,18,22,862
863,Köhnə tikili,120,4,var,144000,vasitəçi (agent),865,Yasamal r.,,,,,,,,,,4,9,863
864,Yeni tikili,170,3,var,240000,vasitəçi (agent),1700,İnşaatçılar m.,,,,,,,,,,11,16,864
865,Yeni tikili,87,2,yoxdur,110000,vasitəçi (agent),182,Həzi Aslanov m.,Xətai r.,Əhmədli q.,,,,,,,,9,17,865
866,Köhnə tikili,75,3,yoxdur,85000,vasitəçi (agent),314,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,,3,5,866
867,Köhnə tikili,75,3,var,100000,vasitəçi (agent),207,Xalqlar Dostluğu m.,Xətai r.,Əhmədli q.,,,,,,,,6,9,867
868,Yeni tikili,54,2,var,130000,mülkiyyətçi,165,20 Yanvar m.,Yasamal r.,Yasamal q.,,,,,,,,6,16,868
869,Yeni tikili,121,3,var,178000,mülkiyyətçi,638,Zərifə Əliyeva adına park,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,6,12,869
870,Yeni tikili,202,4,var,303000,mülkiyyətçi,207,Nəriman Nərimanov parkı,Nəriman Nərimanov m.,Rəssamlıq Akademiyası,Nərimanov r.,,,,,,,4,18,870
871,Köhnə tikili,35,1,var,57000,vasitəçi (agent),450,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,İzmir parkı,Yasamal r.,,,,,,,3,5,871
872,Köhnə tikili,65,3,var,130000,vasitəçi (agent),126,Nəriman Nərimanov parkı,Rəssamlıq Akademiyası,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,5,5,872
873,Yeni tikili,132,3,yoxdur,227000,vasitəçi (agent),1349,İnşaatçılar m.,,,,,,,,,,5,14,873
874,Köhnə tikili,35,2,var,78500,vasitəçi (agent),938,Pedaqoji Universiteti,Malokan bağı,Sahil bağı,Milli Konservatoriya,Nizami kinoteatrı,Bakı Musiqi Akademiyası,Neft Akademiyası,Sahil m.,28 May m.,Nəsimi r.,1,2,874
875,Yeni tikili,151.5,4,yoxdur,247000,mülkiyyətçi,214,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,5,7,875
876,Yeni tikili,111,3,yoxdur,105000,vasitəçi (agent),631,Nizami r.,,,,,,,,,,2,17,876
877,Köhnə tikili,55,2,var,79000,vasitəçi (agent),442,İncəsənət və Mədəniyyət Un.,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,2,5,877
878,Yeni tikili,85,2,var,118000,vasitəçi (agent),245,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,6,13,878
879,Yeni tikili,88,2,yoxdur,67000,vasitəçi (agent),140,Yasamal r.,Yeni Yasamal q.,,,,,,,,,13,19,879
880,Köhnə tikili,80,3,var,91000,vasitəçi (agent),1723,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,9,9,880
881,Köhnə tikili,90,3,var,120000,vasitəçi (agent),215,Yasamal r.,,,,,,,,,,7,9,881
882,Yeni tikili,205,4,var,315000,vasitəçi (agent),1883,Yasamal bazarı,,,,,,,,,,6,16,882
883,Yeni tikili,116,3,yoxdur,165000,vasitəçi (agent),198,Nizami r.,8-ci kilometr q.,,,,,,,,,10,16,883
884,Yeni tikili,86,2,var,117000,vasitəçi (agent),140,Binəqədi r.,7-ci mikrorayon q.,,,,,,,,,18,18,884
885,Köhnə tikili,130,5,var,177000,mülkiyyətçi,207,Ayna Sultanova heykəli,Binəqədi r.,,,,,,,,,3,5,885
886,Yeni tikili,140,3,yoxdur,189000,vasitəçi (agent),275,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,9,16,886
887,Yeni tikili,90,2,var,86000,mülkiyyətçi,216,Koala parkı,Dostluq kinoteatrı,Nəsimi bazarı,Zoopark,Sabunçu r.,Bakıxanov q.,,,,,16,19,887
888,Yeni tikili,53.5,2,var,68500,vasitəçi (agent),210,Yasamal r.,,,,,,,,,,16,20,888
889,Yeni tikili,140,3,var,200000,vasitəçi (agent),183,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,10,20,889
890,Köhnə tikili,70,3,var,130000,vasitəçi (agent),227,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,,6,9,890
891,Yeni tikili,104,3,var,220000,mülkiyyətçi,11845,Ağ şəhər,Xətai r.,,,,,,,,,4,16,891
892,Yeni tikili,210,4,var,650000,vasitəçi (agent),876,Nəsimi bazarı,Koala parkı,Dostluq kinoteatrı,Park Zorge,Nəsimi r.,,,,,,12,18,892
893,Yeni tikili,84.3,3,yoxdur,156500,mülkiyyətçi,307,Təhsil Nazirliyi,Nərimanov r.,,,,,,,,,10,17,893
894,Yeni tikili,120,3,yoxdur,131000,vasitəçi (agent),591,Nizami r.,,,,,,,,,,13,15,894
895,Yeni tikili,75,3,yoxdur,145000,mülkiyyətçi,1141,İnşaatçılar m.,Yasamal r.,,,,,,,,,10,18,895
896,Yeni tikili,47,1,yoxdur,55000,mülkiyyətçi,724,Nəsimi r.,3-cü mikrorayon q.,,,,,,,,,18,18,896
897,Yeni tikili,110,2,yoxdur,130000,vasitəçi (agent),141,Nizami r.,,,,,,,,,,15,17,897
898,Yeni tikili,128,4,var,139000,vasitəçi (agent),126,Həzi Aslanov m.,Xətai r.,,,,,,,,,16,17,898
899,Yeni tikili,60,1,yoxdur,60000,vasitəçi (agent),511,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,18,18,899
