Qiymet,sign,Sheher,Marka,Model,Buraxilish_ili,Ban_novu,Reng,Muherrik_hecm,Muherrik_guc,Yanacaq_novu,Yurush,Suret_qutusu,Oturucu,Yeni,barter_mumkundurmu
25500,AZN,Xırdalan,Chevrolet,Camaro,2010,Kupe,Yaşıl,3.6,335,Benzin,130000,Mexaniki,Arxa,Xeyr,Xeyr
116000,$,Bakı,Mercedes,S 63 AMG,2014,Sedan,Qara,6.3,585,Benzin,95000,Avtomat,Tam,Xeyr,Xeyr
42500,$,Bakı,Toyota,Camry,2018,Sedan,Ağ,2.5,181,Benzin,0,Avtomat,Ön,Bəli,Bəli
157000,$,Bakı,Rolls-Royce,Phantom,2006,Sedan,Ağ,6.5,620,Benzin,23500,Avtomat,Arxa,Xeyr,Bəli
18000,AZN,Bakı,LADA (VAZ),Priora,2018,Sedan,Qəhvəyi,1.6,106,Benzin,0,Mexaniki,Ön,Bəli,Xeyr
24200,$,Bakı,Toyota,Prado,2008,Offroader / SUV,Qara,3,190,Dizel,165000,Avtomat,Tam,Xeyr,Xeyr
24500,$,Bakı,Toyota,Camry,2016,Sedan,Boz,2.5,202,Hibrid,12339,Avtomat,Ön,Xeyr,Bəli
13000,$,Bakı,Kia,Cerato,2013,Sedan,Tünd qırmızı,1.6,140,Benzin,61000,Avtomat,Ön,Xeyr,Xeyr
20500,AZN,Bakı,Hyundai,Elantra,2012,Sedan,Gümüşü,1.8,150,Benzin,131000,Avtomat,Ön,Xeyr,Xeyr
9700,AZN,Xaçmaz,Mercedes,C 200,2000,Sedan,Göy,2,164,Benzin,214000,Avtomat,Arxa,Xeyr,Bəli
8500,AZN,Bakı,LADA (VAZ),2101,1974,Sedan,Göy,1.3,65,Benzin,48000,Mexaniki,Arxa,Xeyr,Xeyr
40000,$,Bakı,Maserati,Quattroporte,2012,Sedan,Qara,4.7,440,Benzin,94000,Avtomat,Arxa,Xeyr,Bəli
9700,AZN,Bakı,Hyundai,Sonata,2004,Sedan,Göy,2,131,Benzin,185053,Avtomat,Ön,Xeyr,Bəli
20500,$,Bakı,Mercedes,E 220,2012,Sedan,Ağ,2.2,204,Dizel,156000,Avtomat,Arxa,Xeyr,Xeyr
17800,$,Sumqayıt,BMW,328,2012,Sedan,Qara,2,245,Benzin,145000,Avtomat,Arxa,Xeyr,Bəli
22900,$,Bakı,BMW,528,2010,Sedan,Qara,3,258,Benzin,93100,Avtomat,Arxa,Xeyr,Xeyr
3700,AZN,Sumqayıt,LADA (VAZ),2106,1994,Sedan,Göy,1.5,65,Benzin,254888,Mexaniki,Arxa,Xeyr,Xeyr
14000,AZN,Bakı,Hyundai,Sonata,2006,Sedan,Qara,2.4,175,Benzin,335000,Avtomat,Ön,Xeyr,Xeyr
108700,$,Bakı,Toyota,Land Cruiser,2018,Offroader / SUV,Qara,4.6,309,Benzin,0,Avtomat,Tam,Bəli,Bəli
22000,AZN,Bakı,Nissan,Sentra,2014,Sedan,Qara,1.6,130,Benzin,56300,Avtomat,Ön,Xeyr,Xeyr
8900,AZN,Bakı,LADA (VAZ),Niva,2013,Offroader / SUV,Ağ,1.7,80,Benzin,213000,Mexaniki,Tam,Xeyr,Xeyr
16700,$,Bakı,Nissan,Sentra,2016,Sedan,Ağ,1.6,117,Benzin,11000,Avtomat,Ön,Xeyr,Xeyr
22400,$,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4,188,Benzin,72000,Avtomat,Tam,Xeyr,Xeyr
36500,$,Bakı,Lexus,LX 470,2007,Offroader / SUV,Qara,4.7,275,Benzin,42000,Avtomat,Tam,Xeyr,Bəli
21400,$,Bakı,Hyundai,Grandeur,2013,Sedan,Qara,3,250,Benzin,95500,Avtomat,Ön,Xeyr,Xeyr
75700,$,Bakı,Toyota,Land Cruiser,2018,Offroader / SUV,Ağ,4,288,Benzin,0,Avtomat,Tam,Bəli,Xeyr
21400,AZN,Bakı,Kia,Optima,2011,Sedan,Ağ,2,165,Benzin,188000,Avtomat,Ön,Xeyr,Xeyr
8900,AZN,Xırdalan,BMW,523,1999,Sedan,Gümüşü,2.5,170,Benzin,356047,Avtomat,Arxa,Xeyr,Xeyr
5500,AZN,Sumqayıt,Mercedes,E 230,1992,Sedan,Gümüşü,2.3,141,Benzin,241041,Avtomat,Arxa,Xeyr,Xeyr
9800,AZN,Gəncə,Mercedes,E 200,1998,Sedan,Gümüşü,2,136,Benzin,201500,Avtomat,Arxa,Xeyr,Xeyr
8400,AZN,Bakı,Chery,Fulwin 2,2012,Sedan,Qara,1.5,109,Benzin,148000,Avtomat,Ön,Xeyr,Xeyr
4500,AZN,Bakı,Iran Khodro,Azsamand,2005,Sedan,Qırmızı,1.8,110,Benzin,230000,Mexaniki,Ön,Xeyr,Xeyr
21700,$,Bakı,BMW,528,2012,Sedan,Ağ,2,245,Benzin,167000,Avtomat,Arxa,Xeyr,Xeyr
